Crater Gernsback,        -36.53,   99.53,    47.02
Crater Gibbs,            -18.37,   84.27,    78.76
Crater Gilbert,           -3.02,   76.16,   100.25
Crater Gill,             -63.77,   75.95,    63.09
Crater Ginzel,            14.25,   97.04,    53.23
Crater Gioja,             83.35,    1.76,    42.47
Crater Giordano Bruno,    35.97,  102.89,    22.13
Crater Glaisher,          13.19,   49.34,    15.92
Crater Glauber,           11.32,  142.67,    15.24
Crater Glazenap,          -1.85,  137.76,    38.96
Crater Glushko,            8.11,  -77.67,    40.01
Crater Goclenius,        -10.05,   45.03,    73.04
Crater Goddard,           15.15,   89.13,    93.18
Crater Godin,              1.82,   10.16,    34.25
Crater Goldschmidt,       73.04,   -3.37,   115.26
Crater Golgi,             27.78,  -59.96,     5.58
Crater Golitsyn,         -25.02, -105.02,    35.47
Crater Golovin,           39.75,  161.24,    37.86
Crater Goodacre,         -32.67,   14.08,    44.09
